File,Line,RouteLiteral
Frontend/actions/public/landing.ts,24,/api/public/${slug}/clinic
Frontend/actions/public/landing.ts,31,/api/public/${slug}/doctors
Frontend/actions/public/landing.ts,40,/api/public/${slug}/doctors/available-now
Frontend/actions/public/landing.ts,47,/api/public/${slug}/services
Frontend/actions/public/landing.ts,56,/api/public/${slug}/payment-options
Frontend/actions/public/landing.ts,65,/api/public/${slug}/working-hours
Frontend/actions/public/landing.ts,86,/api/public/${slug}/marketplace/items${query ? 
Frontend/actions/public/landing.ts,98,/api/public/${slug}/marketplace/items/${itemId}
Frontend/actions/public/landing.ts,114,/api/public/${slug}/marketplace/orders
Frontend/actions/queue/open-my-session.ts,24,/api/auth/me
Frontend/actions/queue/open-my-session.ts,27,/api/clinic/doctors
Frontend/actions/queue/open-my-session.ts,45,/api/clinic/queue/sessions
Frontend/actions/queue/queue-board.ts,7,/api/clinic/queue/board
Frontend/actions/queue/sessions.ts,13,/api/clinic/queue/sessions
Frontend/actions/queue/sessions.ts,30,/api/clinic/queue/sessions/${sessionId}/close
Frontend/actions/queue/tickets.ts,12,/api/clinic/queue/tickets/with-payment
Frontend/actions/queue/tickets.ts,33,/api/clinic/queue/tickets
Frontend/actions/queue/tickets.ts,54,/api/clinic/queue/tickets/${ticketId}/urgent
Frontend/actions/queue/tickets.ts,71,/api/clinic/queue/tickets/${ticketId}/cancel
Frontend/actions/queue/tickets.ts,88,/api/clinic/queue/tickets/${ticketId}/call
Frontend/actions/queue/tickets.ts,106,/api/clinic/queue/tickets/${ticketId}/start-visit
Frontend/actions/queue/tickets.ts,125,/api/clinic/queue/tickets/${ticketId}/finish
Frontend/actions/queue/tickets.ts,142,/api/clinic/queue/tickets/${ticketId}/skip
Frontend/actions/reports/clinic-reports.ts,32,/api/clinic/reports/overview${toQueryString(filters)}
Frontend/actions/reports/clinic-reports.ts,43,/api/clinic/reports/services${toQueryString(filters)}
Frontend/actions/reports/clinic-reports.ts,55,/api/clinic/reports/my-overview${toQueryString(filters)}
Frontend/actions/self-service/requests.ts,34,/api/clinic/self-service-requests${toQueryString(params)}
Frontend/actions/self-service/requests.ts,47,/api/clinic/self-service-requests/${requestId}
Frontend/actions/self-service/requests.ts,60,/api/clinic/self-service-requests/${requestId}/approve
Frontend/actions/self-service/requests.ts,81,/api/clinic/self-service-requests/${requestId}/reject
Frontend/actions/self-service/requests.ts,102,/api/clinic/self-service-requests/${requestId}/request-reupload
Frontend/actions/self-service/requests.ts,123,/api/clinic/self-service-requests/${requestId}/adjust-paid-amount
Frontend/actions/service/clinic-services.ts,23,/api/clinic/services?${params.toString()}
Frontend/actions/service/clinic-services.ts,38,/api/clinic/services
Frontend/actions/service/clinic-services.ts,53,/api/clinic/services/${id}
Frontend/actions/service/clinic-services.ts,67,/api/clinic/services/${id}
Frontend/actions/service/doctor-services.ts,16,/api/clinic/services/doctors/${doctorId}/links
Frontend/actions/service/doctor-services.ts,34,/api/clinic/services/doctors/${doctorId}/links/${clinicServiceId}
Frontend/actions/service/doctor-services.ts,52,/api/clinic/services/doctors/${doctorId}/links/${clinicServiceId}
Frontend/actions/settings/get-settings.ts,10,/api/clinic/settings
Frontend/actions/settings/update-settings.ts,9,/api/clinic/settings
Frontend/actions/settings/upload-logo.ts,11,/api/clinic/media/clinic-logo
Frontend/actions/staff/create-staff.ts,13,/api/clinic/staff
Frontend/actions/staff/get-staff.ts,15,/api/clinic/staff?${query}
Frontend/actions/staff/toggle-staff-status.ts,16,/api/clinic/staff/${staffId}/${action}
Frontend/actions/staff/update-staff.ts,21,/api/clinic/staff/${data.id}
Frontend/actions/visit/complete-visit.ts,15,/api/clinic/visits/${visitId}/complete
Frontend/actions/visit/get-patient-visit.ts,13,/api/clinic/patients/${patientId}/visits?pageNumber=1&pageSize=1
