HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
GET,api/clinic/expenses,ExpensesController.cs,GetAll,wired,GET,/api/clinic/expenses,Frontend/actions/finance/expenses.ts:22,matched method and normalized route in actions
GET,api/platform/feature-flags/{tenantId},FeatureFlagsController.cs,GetFeatureFlags,wired,GET,/api/platform/feature-flags/${tenantId},Frontend/actions/platform/feature-flags.ts:11,matched method and normalized route in actions
PUT,api/platform/feature-flags/{tenantId},FeatureFlagsController.cs,UpdateFeatureFlags,wired,PUT,/api/platform/feature-flags/${tenantId},Frontend/actions/platform/feature-flags.ts:19,matched method and normalized route in actions
GET,api/clinic/finance/daily,FinanceController.cs,GetDailyRevenue,wired,GET,/api/clinic/finance/daily,Frontend/actions/finance/get-daily-finance.ts:7,matched method and normalized route in actions
GET,api/clinic/finance/by-doctor,FinanceController.cs,GetByDoctor,wired,GET,/api/clinic/finance/by-doctor,Frontend/actions/finance/reports.ts:47,matched method and normalized route in actions
GET,api/clinic/finance/monthly,FinanceController.cs,GetMonthly,wired,GET,/api/clinic/finance/monthly,Frontend/actions/finance/reports.ts:56,matched method and normalized route in actions
GET,api/clinic/finance/yearly,FinanceController.cs,GetYearly,wired,GET,/api/clinic/finance/yearly,Frontend/actions/finance/reports.ts:68,matched method and normalized route in actions
GET,api/clinic/finance/profit,FinanceController.cs,GetProfit,wired,GET,/api/clinic/finance/profit,Frontend/actions/finance/reports.ts:18,matched method and normalized route in actions
GET,api/Health,HealthController.cs,GetHealth,wired,GET,/api/Health,Frontend/actions/platform/health.ts:7,matched method and normalized route in actions
GET,api/clinic/inventory/items,InventoryController.cs,GetItems,wired,GET,/api/clinic/inventory/items,Frontend/actions/inventory/items.ts:35,matched method and normalized route in actions
GET,api/clinic/inventory/items/{itemId:guid},InventoryController.cs,GetItemById,wired,GET,/api/clinic/inventory/items/${itemId},Frontend/actions/inventory/items.ts:49,matched method and normalized route in actions
POST,api/clinic/inventory/items,InventoryController.cs,Create,wired,POST,/api/clinic/inventory/items,Frontend/actions/inventory/items.ts:60,matched method and normalized route in actions
PUT,api/clinic/inventory/items/{itemId:guid},InventoryController.cs,Update,wired,PUT,/api/clinic/inventory/items/${itemId},Frontend/actions/inventory/items.ts:78,matched method and normalized route in actions
POST,api/clinic/inventory/items/{itemId:guid}/activation,InventoryController.cs,SetActivation,wired,POST,/api/clinic/inventory/items/${itemId}/activation,Frontend/actions/inventory/items.ts:96,matched method and normalized route in actions
POST,api/clinic/invoices,InvoicesController.cs,CreateInvoice,wired,POST,/api/clinic/invoices,Frontend/actions/billing/create-invoice.ts:22,matched method and normalized route in actions
PUT,api/clinic/invoices/{id:guid},InvoicesController.cs,UpdateInvoice,wired,PUT,/api/clinic/invoices/${invoiceId},Frontend/actions/billing/update-invoice.ts:16,matched method and normalized route in actions
