HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
PUT,/api/clinic/partners/contracts/,api/clinic/partners/contracts,Frontend/actions/partner/workflow.ts,165
PUT,/api/clinic/partners/contracts/${contractId},api/clinic/partners/contracts/{},Frontend/actions/partner/workflow.ts,165
GET,/api/clinic/partner-orders,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,184
GET,/api/clinic/partner-orders${query},api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,184
GET,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,192
GET,/api/clinic/partner-orders/${orderId},api/clinic/partner-orders/{},Frontend/actions/partner/workflow.ts,192
POST,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,209
POST,/api/clinic/partner-orders/${orderId}/status,api/clinic/partner-orders/{}/status,Frontend/actions/partner/workflow.ts,209
POST,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,224
POST,/api/clinic/partner-orders/${orderId}/accept,api/clinic/partner-orders/{}/accept,Frontend/actions/partner/workflow.ts,224
POST,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,237
POST,/api/clinic/partner-orders/${orderId}/schedule,api/clinic/partner-orders/{}/schedule,Frontend/actions/partner/workflow.ts,237
POST,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,250
POST,/api/clinic/partner-orders/${orderId}/arrived,api/clinic/partner-orders/{}/arrived,Frontend/actions/partner/workflow.ts,250
POST,/api/clinic/partner-orders/,api/clinic/partner-orders,Frontend/actions/partner/workflow.ts,268
POST,/api/clinic/partner-orders/${orderId}/result,api/clinic/partner-orders/{}/result,Frontend/actions/partner/workflow.ts,268
GET,/api/clinic/partners/services,api/clinic/partners/services,Frontend/actions/partner/workflow.ts,287
GET,/api/clinic/partners/services${query ? ,api/clinic/partners/services${query,Frontend/actions/partner/workflow.ts,287
POST,/api/clinic/partners/services,api/clinic/partners/services,Frontend/actions/partner/workflow.ts,301
PUT,/api/clinic/partners/services/,api/clinic/partners/services,Frontend/actions/partner/workflow.ts,313
PUT,/api/clinic/partners/services/${itemId},api/clinic/partners/services/{},Frontend/actions/partner/workflow.ts,313
POST,/api/clinic/partners/,api/clinic/partners,Frontend/actions/partner/workflow.ts,331
POST,/api/clinic/partners/${partnerId}/users,api/clinic/partners/{}/users,Frontend/actions/partner/workflow.ts,331
PUT,/api/clinic/bookings/,api/clinic/bookings,Frontend/actions/patient-app/cancel-booking-patient.ts,13
PUT,/api/clinic/bookings/${bookingId}/cancel,api/clinic/bookings/{}/cancel,Frontend/actions/patient-app/cancel-booking-patient.ts,13
GET,/api/clinic/bookings/my,api/clinic/bookings/my,Frontend/actions/patient-app/get-my-bookings.ts,11
GET,/api/clinic/queue/my-ticket,api/clinic/queue/my-ticket,Frontend/actions/patient-app/get-my-ticket.ts,10
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,18
GET,/api/clinic/patient-app/profiles/${patientId},api/clinic/patient-app/profiles/{},Frontend/actions/patient-app/profile.ts,18
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,33
GET,/api/clinic/patient-app/profiles/${patientId}/visits?pageNumber=${pageNumber}&pageSize=${pageSize},api/clinic/patient-app/profiles/{}/visits,Frontend/actions/patient-app/profile.ts,33
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,46
GET,/api/clinic/patient-app/profiles/${patientId}/summary,api/clinic/patient-app/profiles/{}/summary,Frontend/actions/patient-app/profile.ts,46
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,56
GET,/api/clinic/patient-app/profiles/${patientId}/queue-ticket,api/clinic/patient-app/profiles/{}/queue-ticket,Frontend/actions/patient-app/profile.ts,56
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,69
